
Create table persons(
id int primary key,
name varchar(25) not null,
gender varchar(5) not null,
age int not null,
country varchar(30) not null
);


id,name,gender,age,country

(1,"Olivia","F",65,"India")
INSERT INTO persons (id, name, gender, age, country)
VALUES
  (1,'Olivia','F',65,'India'),
  (2, 'Liam', 'M', 70, 'Ireland'),
  (3, 'Noah', 'M', 82, 'Chile'),
  (4, 'Oliver', 'M', 60, 'Ireland'),
  (5, 'Emma', 'F', 86, 'Spain'),
  (6, 'Charlotte', 'F', 26, 'Italy'),
  (7, 'Elijah', 'M', 21, 'Spain'),
  (8, 'James', 'M', 92, 'Brazil'),
  (9, 'Elizabeth', 'F', 60, 'India'),
  (10, 'Eleanor', 'F', 48, 'Italy'),
  (11, 'Ella', 'F', 87, 'Australia'),
  (12, 'William', 'M', 90, 'Ireland'),
  (13, 'Harper', 'F', 65, 'Chile'),
  (14, 'Luna', 'F', 40, 'Australia'),
  (15, 'Camila', 'F', 73, 'Spain'),
  (16, 'Gianna', 'F', 95, 'India'),
  (17, 'Benjamin', 'M', 35, 'Ireland'),
  (18, 'Lucas', 'M', 75, 'USA'),
  (19, 'Henry', 'M', 41, 'Ireland'),
  (20, 'Abigail', 'F', 69, 'Sri Lanka'),
  (21, 'Sofia', 'F', 81, 'Spain'),
  (22, 'Avery', 'F', 46, 'Italy'),
  (23, 'Scarlett', 'F', 77, 'Sri Lanka'),
  (24, 'Emily', 'F', 13, 'India'),
  (25, 'Aria', 'F', 88, 'India'),
  (26, 'Theodore', 'M', 38, 'Ireland'),
  (27, 'Jack', 'M', 94, 'USA'),
  (28, 'Levi', 'M', 64, 'Italy'),
  (29, 'Alexander', 'M', 91, 'Chile'),
  (30, 'Nora', 'F', 77, 'Ireland'),
  (31, 'Hazel', 'F', 18, 'Italy'),
  (32, 'Madison', 'F', 74, 'Italy'),
  (33, 'Ellie', 'F', 75, 'Brazil'),
  (34, 'Lily', 'F', 98, 'Spain'),
  (35, 'Jacob', 'M', 26, 'Sri Lanka'),
  (36, 'Asher', 'M', 58, 'India'),
  (37, 'Aiden', 'M', 56, 'Chile'),
  (38, 'Violet', 'F', 19, 'India'),
  (39, 'Aurora', 'F', 71, 'Sri Lanka'),
  (40, 'Joseph', 'M', 81, 'Australia'),
  (41, 'Wyatt', 'M', 78, 'Spain'),
  (42, 'David', 'M', 62, 'Sri Lanka'),
  (43, 'Leo', 'M', 23, 'Italy'),
  (44, 'Luke', 'M', 35, 'USA'),
  (45, 'Michael', 'M', 83, 'Ireland'),
  (46, 'Daniel', 'M', 63, 'Chile'),
  (47, 'Grace', 'F', 50, 'Australia'),
  (48, 'Carter', 'M', 25, 'Spain'),
  (49, 'Samuel', 'M', 57, 'USA'),
  (50, 'Josephine', 'F', 30, 'Brazil');

INSERT INTO persons (id, name, gender, age, country)
VALUES
  (51, 'Maverick', 'M', 61, 'Sri Lanka'),
  (52, 'Ivy', 'F', 21, 'Spain'),
  (53, 'Everly', 'F', 83, 'Chile'),
  (54, 'Lillian', 'F', 72, 'Australia'),
  (55, 'Paisley', 'F', 79, 'Brazil'),
  (56, 'Elena', 'F', 27, 'Chile'),
  (57, 'Naomi', 'F', 55, 'Chile'),
  (58, 'Isaiah', 'M', 80, 'Italy'),
  (59, 'Andrew', 'M', 10, 'Italy'),
  (60, 'Joshua', 'M', 49, 'Spain'),
  (61, 'Nathan', 'M', 79, 'Spain'),
  (62, 'Nolan', 'M', 99, 'Chile'),
  (63, 'Adrian', 'M', 65, 'Brazil'),
  (64, 'Aaliyah', 'F', 67, 'Australia'),
  (65, 'Ruby', 'F', 25, 'Brazil'),
  (66, 'Brooklyn', 'F', 38, 'India'),
  (67, 'Alice', 'F', 39, 'Australia'),
  (68, 'Cameron', 'M', 47, 'Italy'),
  (69, 'Santiago', 'M', 46, 'Ireland'),
  (70, 'Eli', 'M', 50, 'Australia'),
  (71, 'Aaron', 'M', 71, 'Brazil'),
  (72, 'Ryan', 'M', 84, 'India'),
  (73, 'Angel', 'M', 68, 'USA'),
  (74, 'Madelyn', 'F', 53, 'USA'),
  (75, 'Josephine', 'F', 17, 'India'),
  (76, 'Bella', 'F', 37, 'Australia'),
  (77, 'Skylar', 'F', 56, 'Australia'),
  (78, 'Cooper', 'M', 51, 'Ireland'),
  (79, 'Waylon', 'M', 55, 'Sri Lanka'),
  (80, 'Easton', 'M', 28, 'Spain'),
  (81, 'Kai', 'M', 49, 'Ireland'),
  (82, 'Natalia', 'F', 97, 'Ireland'),
  (83, 'Quinn', 'F', 78, 'Australia'),
  (84, 'Caroline', 'F', 19, 'Spain'),
  (85, 'Allison', 'F', 93, 'Ireland'),
  (86, 'Gabriella', 'F', 78, 'Sri Lanka'),
  (87, 'Christian', 'M', 91, 'Ireland'),
  (88, 'Landon', 'M', 35, 'USA'),
  (89, 'Colton', 'M', 54, 'Australia'),
  (90, 'Roman', 'M', 33, 'Italy'),
  (91, 'Ariana', 'F', 34, 'USA'),
  (92, 'Emery', 'F', 85, 'Spain'),
  (93, 'Lydia', 'F', 79, 'Spain'),
  (94, 'Axel', 'M', 83, 'Australia'),
